year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,mohajote,mohajotePercentage,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,blank,winner
2008,172,Munshiganj,MUNSHIGANJ2,231071,196887,85.21,87358,44.37,104876,53.27,,,,,,,,,3831,1.95,822,MOHAJOTE
2008,173,Munshiganj,MUNSHIGANJ3,319675,272169,85.14,119940,44.07,,,142484,52.35,,,2485,0.91,,,6237,2.29,1023,AL
2008,174,Dhaka,DHAKA1,320047,284680,88.95,121377,42.64,155864,54.75,,,,,,,,,6651,2.34,788,MOHAJOTE
2008,175,Dhaka,DHAKA2,377454,318022,84.25,124600,39.18,180172,56.65,,,,,,,,,11393,3.58,1857,MOHAJOTE
2008,176,Dhaka,DHAKA3,250641,193517,77.21,70680,36.52,112623,58.2,,,,,,,,,9207,4.76,1007,MOHAJOTE
2008,177,Dhaka,DHAKA4,192041,162966,84.86,52701,32.34,97828,60.03,,,,,,,,,10865,6.67,1572,MOHAJOTE
2008,178,Dhaka,DHAKA5,351913,288962,82.11,99895,34.57,,,153144,53,,,17246,5.97,,,13584,4.7,5093,AL
2008,179,Dhaka,DHAKA6,224540,188617,84,72456,38.41,103737,55,,,,,,,,,8017,4.25,4407,MOHAJOTE
2008,180,Dhaka,DHAKA7,276137,228069,82.59,70747,31.02,146347,64.17,,,,,,,,,6641,2.91,4334,MOHAJOTE
2008,181,Dhaka,DHAKA8,224650,169711,75.54,63860,37.63,97841,57.65,,,,,,,,,2529,1.49,5481,MOHAJOTE
2008,182,Dhaka,DHAKA9,356261,281515,79.02,92227,32.76,179756,63.85,,,,,,,,,4864,1.73,4668,MOHAJOTE
2008,183,Dhaka,DHAKA10,349190,267213,76.52,89800,33.61,165549,61.95,,,,,,,,,6177,2.31,5687,MOHAJOTE
2008,184,Dhaka,DHAKA11,296627,215045,72.5,73870,34.35,130424,60.65,,,,,,,,,6250,2.91,4501,MOHAJOTE
2008,185,Dhaka,DHAKA12,260859,196213,75.22,69262,35.3,118136,60.21,,,,,,,,,3259,1.66,5556,MOHAJOTE
2008,186,Dhaka,DHAKA13,283064,218310,77.12,78504,35.96,125120,57.31,,,,,,,,,6078,2.78,8608,MOHAJOTE
2008,187,Dhaka,DHAKA14,326163,247081,75.75,84849,34.34,148440,60.08,,,,,,,,,5968,2.42,7824,MOHAJOTE
2008,188,Dhaka,DHAKA15,291463,212796,73.01,76472,35.94,120780,56.76,,,,,,,,,10246,4.81,5298,MOHAJOTE
2008,189,Dhaka,DHAKA16,300836,228396,75.92,85002,37.22,131816,57.71,,,,,,,,,6700,2.93,4878,MOHAJOTE
2008,190,Dhaka,DHAKA17,262142,191471,73.04,56267,29.39,123936,64.73,,,,,,,,,5055,2.64,6213,MOHAJOTE
2008,191,Dhaka,DHAKA18,442468,341083,77.09,116786,34.24,213332,62.55,,,,,,,,,4676,1.37,6289,MOHAJOTE
2008,192,Dhaka,DHAKA19,602385,459729,76.32,170719,37.13,282492,61.45,,,,,,,,,3380,0.74,3138,MOHAJOTE
2008,193,Dhaka,DHAKA20,256537,228109,88.92,93177,40.85,133437,58.5,,,,,,,,,521,0.23,974,MOHAJOTE
2008,194,Gazipur,GAZIPUR1,535821,440175,82.15,173835,39.49,261304,59.36,,,,,,,,,3712,0.84,1324,MOHAJOTE
2008,195,Gazipur,GAZIPUR2,523683,414563,79.16,139278,33.6,264710,63.85,,,,,,,,,7705,1.86,2870,MOHAJOTE
2008,196,Gazipur,GAZIPUR3,404473,350957,86.77,108915,31.03,236944,67.51,,,,,,,,,4095,1.17,1003,MOHAJOTE
2008,197,Gazipur,GAZIPUR4,200845,177934,88.59,64466,36.23,110682,62.2,,,,,,,,,2414,1.36,372,MOHAJOTE
2008,198,Gazipur,GAZIPUR5,229769,205628,89.49,74899,36.42,125903,61.23,,,,,,,,,3844,1.87,982,MOHAJOTE
2008,199,Narsingdi,NARSINGDI1,269222,236037,87.67,105454,44.68,122105,51.73,,,,,,,,,7530,3.19,948,MOHAJOTE
2008,200,Narsingdi,NARSINGDI2,206704,183711,88.88,71859,39.12,101687,55.35,,,,,,,,,9329,5.08,836,MOHAJOTE
