year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,awamiLeague,awamiLeaguePercentage,jatiyaParty,jatiyaPartyPercentage,others,othersPercentage,winner
2001,264,Chadpur,Chadpur5,293721,212384,72.31,110792,52.17,94531,44.51,5051,2.38,2010,0.95,4P
2001,265,Chadpur,Chadpur6,223284,137570,61.61,85856,62.41,48921,35.56,2286,1.66,507,0.37,4P
2001,266,Feni,Feni1,206727,142844,69.1,103149,72.21,36763,25.74,688,0.48,2244,1.57,4P
2001,267,Feni,Feni2,275577,187738,68.13,115278,61.40,67025,35.70,722,0.38,4713,2.51,4P
2001,268,Feni,Feni3,205423,137952,67.16,94321,68.37,42212,30.60,721,0.52,698,0.51,4P
2001,269,Noakhali,Noakhali1,147338,93011,63.13,57555,61.88,30876,33.20,3897,4.19,683,0.73,4P
2001,270,Noakhali,Noakhali2,423775,255402,60.27,158737,62.15,72134,28.24,19782,7.75,4749,1.86,4P
2001,271,Noakhali,Noakhali3,129231,86140,66.66,50378,58.48,27978,32.48,6037,7.01,1747,2.03,4P
2001,272,Noakhali,Noakhali4,338978,201891,59.56,112095,55.52,83998,41.61,4565,2.26,1233,0.61,4P
2001,273,Noakhali,Noakhali5,267729,175281,65.47,84578,48.25,45972,26.23,1932,1.10,42799,24.42,4P
2001,274,Noakhali,Noakhali6,169563,100804,59.45,28335,28.11,33036,32.77,158,0.16,39275,38.96,Others
2001,275,Laxmipur,Laxmipur1,157581,104665,66.42,68990,65.92,32437,30.99,2572,2.46,666,0.64,4P
2001,276,Laxmipur,Laxmipur2,272564,171010,62.74,123526,72.23,44974,26.30,1251,0.73,1259,0.74,4P
2001,277,Laxmipur,Laxmipur3,222870,139987,62.81,95215,68.02,41235,29.46,3537,2.53,,,4P
2001,278,Laxmipur,Laxmipur4,239701,128983,53.81,45977,35.65,38464,29.82,,,44542,34.53,4P
2001,279,Chittagong,Chittagong1,224836,171351,76.21,86839,50.68,82333,48.05,921,0.54,1258,0.73,4P
2001,280,Chittagong,Chittagong2,179110,136919,76.44,67512,49.31,46045,33.63,4971,3.63,18391,13.43,4P
2001,281,Chittagong,Chittagong3,160923,109088,67.79,69546,63.75,39135,35.87,264,0.24,143,0.13,4P
2001,282,Chittagong,Chittagong4,276791,193095,69.76,82518,42.73,108011,55.94,892,0.46,1674,0.87,AL
2001,283,Chittagong,Chittagong5,227030,164945,72.65,84063,50.96,73938,44.83,1895,1.15,5049,3.06,4P
2001,284,Chittagong,Chittagong6,206138,143398,69.56,67340,46.96,74669,52.07,1389,0.97,,,AL
2001,285,Chittagong,Chittagong7,182878,132817,72.63,65116,49.03,55267,41.61,,,12434,9.36,4P
2001,286,Chittagong,Chittagong8,484127,320077,66.11,181584,56.73,129198,40.36,3983,1.24,5312,1.66,4P
2001,287,Chittagong,Chittagong9,413465,249376,60.31,131639,52.79,111935,44.89,2236,0.90,3566,1.43,4P
2001,288,Chittagong,Chittagong10,316055,212432,67.21,112308,52.87,90380,42.55,2633,1.24,7111,3.35,4P
2001,289,Chittagong,Chittagong11,209342,154036,73.58,79914,51.88,63250,41.06,1539,1.00,9333,6.06,4P
2001,290,Chittagong,Chittagong12,212844,150157,70.55,76473,50.93,68187,45.41,1680,1.12,3817,2.54,4P
2001,291,Chittagong,Chittagong13,174824,130227,74.49,70016,53.76,57700,44.31,380,0.29,2131,1.64,4P
2001,292,Chittagong,Chittagong14,296015,220891,74.62,64184,29.06,48932,22.15,1206,0.55,106569,48.25,Others
2001,293,Chittagong,Chittagong15,221841,161322,72.72,100856,62.52,56314,34.91,3516,2.18,636,0.39,4P
2001,294,Cox's Bazar,Cox's Bazar1,284425,212438,74.69,134602,63.36,74297,34.97,1039,0.49,2500,1.18,4P
2001,295,Cox's Bazar,Cox's Bazar2,213590,153119,71.69,103503,67.60,49190,32.13,,,426,0.28,4P
2001,296,Cox's Bazar,Cox's Bazar3,290978,123919,42.59,113895,91.91,8312,6.71,,,1712,1.38,4P
2001,297,Cox's Bazar,Cox's Bazar4,189267,138482,73.17,89747,64.81,48735,35.19,,,,,4P
2001,298,Khagrachari,Khagrachari,327051,186593,57.05,93859,50.30,55309,29.64,1166,0.62,36259,19.43,4P
2001,299,Rangamati,Rangamati,310148,136116,43.89,68744,50.50,51000,37.47,1966,1.44,14406,10.58,4P
2001,300,Bandarban,Bandarban,174359,101407,58.16,38697,38.16,39550,39.00,483,0.48,22677,22.36,AL
,,,,,,,,,,,,,,,
